"Sector","Categoría","Subcategoría",Año,"Tipo de GEI","GEI",Gg Gas,"Gg CO2 - eq (GWP)","Gg CO2 - eq (GTP)","Notation Key"
"1 - Energía","1.B - Emisiones fugitivas de los combustibles","1.B.2 - Petróleo y Gas Natural",2000,"Indirecto","CO",0,1668,"N/A","N/A",
"1 - Energía","1.B - Emisiones fugitivas de los combustibles","1.B.2 - Petróleo y Gas Natural",2000,"Indirecto","COVDM",0,7449,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.B - Industria Química","2.B.10 - Otros ",2000,"Indirecto","SO2",1,2,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.D - Uso de productos no energéticos de combustibles y de solventes","2.D.3 - Uso de solventes",2000,"Indirecto","COVDM",12,3275575,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.D - Uso de productos no energéticos de combustibles y de solventes","2.D.4 - Otros (Asfalto)",2000,"Indirecto","COVDM",0,000912864,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",2000,"Indirecto","NOx",0,0353,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",2000,"Indirecto","CO",0,194,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",2000,"Indirecto","COVDM",0,0706,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",2000,"Indirecto","SO2",0,0706,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.2 - Industria de la Alimentación y Bebidas",2000,"Indirecto","COVDM",2,48241,"N/A","N/A",
"3 - Agricultura, Silvicultura y Otros Usos de la Tierra","3.C - Fuentes agregadas y fuentes de emisiones no-CO2 de la tierra","3.C.1 - Emisiones de la quema de biomasa",2000,"Indirecto","NOx",0,2301845,"N/A","N/A",
